categorie,categorie_1,sous_categorie,nom,prix,lien,rayon,categorie_2,categorie_3,famille,talon,info_pointure,semelle,doublure,matiere_exterieure,matiere,couleur_principale,reference,libelle_modele,images,membrane,origine,created_at,updated_at
Femme,,Sneakers,Baskets et Sneakers -Femme -Cuir -Noir  -Montante -pikolinos,130.0,https://www.chaussuresonline.com/fr/chaussure/pikolinos/femme/baskets-et-sneakers/8868-noir/6800702.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6800702_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6800702_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6800702_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6800702_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6800702_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6800702_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Synthétique -Noir  -Tendance -another trend,139.0,https://www.chaussuresonline.com/fr/chaussure/another-trend/femme/baskets-et-sneakers/a032-0385-noir/5820001.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820001_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820001_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820001_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820001_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820001_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820001_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Synthétique -Marron  -Tendance -another trend,139.0,https://www.chaussuresonline.com/fr/chaussure/another-trend/femme/baskets-et-sneakers/a032-8208-marron/5820201.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820201_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820201_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820201_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820201_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820201_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5820201_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme - -Noir  -Tendance -vanessa wu,80.0,https://www.chaussuresonline.com/fr/chaussure/vanessa-wu/femme/baskets-et-sneakers/aby-noir/5780901.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5780901_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5780901_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5780901_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5780901_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5780901_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/5780901_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Textile -Blanc  -Tendance -no name,109.0,https://www.chaussuresonline.com/fr/chaussure/no-name/femme/baskets-et-sneakers/arcade-blanc/8142302.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142302_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142302_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142302_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142302_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142302_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142302_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Textile -Taupe  -Tendance -no name,109.0,https://www.chaussuresonline.com/fr/chaussure/no-name/femme/baskets-et-sneakers/arcade-taupe/8142303.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142303_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142303_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142303_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142303_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142303_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8142303_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Cuir -Multicolor  -Tendance -softwaves,190.0,https://www.chaussuresonline.com/fr/chaussure/softwaves/femme/baskets-et-sneakers/ariana--alana-multicolor/8151701.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8151701_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8151701_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8151701_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8151701_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8151701_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8151701_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Cuir -Beige  -Tendance -barracuda,297.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1435-beige/9758502.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_5.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_6.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Cuir -Argent  -Tendance -barracuda,297.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1435-v2226-argent/9758402.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
Femme,,Sneakers,Baskets et Sneakers -Femme -Textile -Glitter - Paillettes  -Tendance -victoria,95.0,https://www.chaussuresonline.com/fr/chaussure/victoria/femme/baskets-et-sneakers/berlin-glitter---paillettes/6769103.awp,,,,,,,,,,,,,,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6769103_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6769103_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6769103_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6769103_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6769103_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/6769103_5.jpg,,MADE IN FRANCE,2025-09-19 15:17:23,2025-09-19 15:17:23
